"Date","Payee","Memo","Outflow","Inflow"
"30/03/2025","UPI-545515394479_UPI-545515394479-SAI FLOW","UPI-545515394479_UPI-545515394479-SAI FLOW","260",""
"30/03/2025","UPI-545556998922_UPI-545556998922-YADAV SA","UPI-545556998922_UPI-545556998922-YADAV SA","112",""
"30/03/2025","UPI-508985402888_UPI-508985402888-TULSHIDA","UPI-508985402888_UPI-508985402888-TULSHIDA","40",""
"28/03/2025","AMAZON PAY INDIA PRIVA, wwwamazonin, IND","AMAZON PAY INDIA PRIVA, wwwamazonin, IND","","1,478.00"
"29/03/2025","UPI-545421732402_UPI-545421732402-Swiggy L","UPI-545421732402_UPI-545421732402-Swiggy L","1",""
